sample,shape,foreground_vx,exact_match,n_mismatched,pct_of_foreground
VESSEL12_01,"(355, 512, 512)",9994505,True,0,0.0
VESSEL12_02,"(415, 512, 512)",18112986,True,0,0.0
VESSEL12_03,"(534, 512, 512)",24503183,True,0,0.0
VESSEL12_04,"(426, 512, 512)",11990288,True,0,0.0
VESSEL12_05,"(424, 512, 512)",18113667,True,0,0.0
VESSEL12_06,"(375, 512, 512)",8310256,True,0,0.0
VESSEL12_07,"(461, 512, 512)",15940094,True,0,0.0
VESSEL12_08,"(442, 512, 512)",13943294,True,0,0.0
VESSEL12_09,"(543, 512, 512)",20844232,True,0,0.0
VESSEL12_10,"(426, 512, 512)",10945051,True,0,0.0
VESSEL12_11,"(421, 512, 512)",11746873,True,0,0.0
VESSEL12_12,"(446, 512, 512)",14915056,True,0,0.0
VESSEL12_13,"(471, 512, 512)",7790356,True,0,0.0
VESSEL12_14,"(386, 512, 512)",9856656,True,0,0.0
VESSEL12_15,"(378, 512, 512)",13151623,True,0,0.0
VESSEL12_16,"(451, 512, 512)",13160873,True,0,0.0
VESSEL12_17,"(429, 512, 512)",7900220,True,0,0.0
VESSEL12_18,"(408, 512, 512)",16297322,True,0,0.0
VESSEL12_19,"(396, 512, 512)",12436968,True,0,0.0
VESSEL12_20,"(406, 512, 512)",10557355,True,0,0.0
